id,should_trigger,kind,language,prompt
t01,true,explicit,en,"Use $rationale to prepare a change to src/billing/retry.rs::backoff"
t02,true,explicit,en,"/rationale capture"
t03,true,implicit,en,"Cap payment retries at three attempts in src/billing/retry.rs"
t04,true,implicit,en,"Why does checkout call reserve_stock before charging? Can we drop that call?"
t05,true,implicit,en,"This second balance check in the refund worker looks redundant. Simplify it."
t06,true,implicit,en,"The change is done and the tests pass. Wrap it up and record what we learned."
t07,true,contextual,en,"finalize_change came back with a conflicts array. What do I do now?"
t08,true,implicit,en,"The Rationale tools do not show up in my agent after installing."
t09,true,implicit,en,"Set up Rationale in this repository and seed the first rules from our ADRs."
t10,true,implicit,en,"rationale doctor reports bindings to files that no longer exist. Clean that up."
t11,true,contextual,en,"Rename the retry helper to schedule_retry and update every caller."
t12,true,implicit,es,"Quita el reintento duplicado del worker de pagos."
t13,true,implicit,es,"¿Por qué existe esta guarda en charge()? ¿La puedo borrar?"
t14,true,implicit,es,"Ya terminé el cambio y pasan los tests. Captura lo que aprendimos."
t15,true,explicit,es,"Usa $rationale para explicar src/auth.rs::resolve"
t16,true,boundary,en,"Pin constraint.payments-idempotent for me."
t17,true,boundary,es,"Resuelve el conflicto pendiente como te parezca mejor."
t18,true,boundary,en,"The pinned retry rule is wrong. Replace it with a new one and move on."
t19,false,negative,en,"What changed in the last three commits?"
t20,false,negative,en,"Find every call site of parse_config."
t21,false,negative,en,"Explain what a Rust lifetime is."
t22,false,negative,en,"Fix the typo in the README heading."
t23,false,negative,en,"Write a commit message for the staged changes."
t24,false,negative,es,"Escribe un poema sobre la memoria."
t25,false,negative,en,"Summarize this CSV of monthly sales."
t26,false,negative,es,"¿Qué es un servidor MCP?"
